"holiday","recipe","star_rate","review_count","madeit_count"
"Halloween ","Pumpkin Turkey Chili",4.28,784,952
"Halloween ","Libby's® Famous Pumpkin Pie",4.8,644,1000
"Halloween ","Caramels",4.64,592,826
"Halloween ","Roasted Pumpkin Seeds",4.45,477,879
"Halloween ","Halloween Bloody Baked Rats",4.73,89,109
"Halloween ","Magic Wands",4.55,102,116
"Halloween ","Black Magic Cake",4.77,1940,1000
"Halloween ","Perfect Pumpkin Pie",4.68,1729,3000
"Halloween ","Paul's Pumpkin Bars",4.71,977,1000
"Halloween ","Brown Family's Favorite Pumpkin Pie",4.68,832,898
"Halloween ","Pumpkin Cake III",4.76,691,874
"Halloween ","Spooky Witches' Fingers",4.48,673,789
"Halloween ","Rick's Special Buttercream Frosting",4.55,567,135
"Labor Day ","Supergirl Summer Smoothie",4.47,11,12
"Labor Day ","Old Fashioned Peach Cobbler",4.62,496,647
"Labor Day ","A Plus Fair Corn Dogs",4.5,176,205
"Labor Day ","Sweet Restaurant Slaw",4.76,2010,3000
"Labor Day ","Unbelievable Chicken",4.48,1496,2000
"Labor Day ","Broccoli with Garlic Butter and Cashews",4.58,1387,2000
"Labor Day ","Yellow Squash Casserole",4.59,1400,2000
"Labor Day ","Oven-Roasted Asparagus",4.78,1029,3000
"Labor Day ","Tortellini Picnic Salad",3.92,9,11
"Labor Day ","Grandma's Chocolate Zucchini Brownies",4.45,53,95
"Labor Day ","BLT Pasta Salad",4.38,374,470
"Labor Day ","Guacamole",4.81,3913,6000
"Labor Day ","BBQ Pork for Sandwiches",4.79,2446,3000
"Labor Day ","Roasted Garlic Cauliflower",4.57,1760,3000
"Labor Day ","Honey Mustard Grilled Chicken",4.54,1643,544
"Labor Day ","Red Skinned Potato Salad",4.71,1522,2000
"Labor Day ","Baby Back Ribs",4.77,1412,2000
"Labor Day ","Sangria! Sangria!",4.81,1111,2000
"Labor Day ","American Potato Salad",4.58,201,308
"Labor Day ","The Labor Day Burger",4.11,14,277
"Labor Day ","Rosemary Ranch Chicken Kabobs",4.7,2730,4000
"Labor Day ","Annie's Fruit Salsa and Cinnamon Chips",4.78,3216,4000
"Labor Day ","Fresh Southern Peach Cobbler",4.7,2311,4000
"Labor Day ","Double Tomato Bruschetta",4.82,1963,2000
"Labor Day ","Seven Layer Taco Dip",4.73,1758,2000
"Labor Day ","Classic Macaroni Salad",4.47,1673,2000
"Labor Day ","Slow-Cooker Barbecue Ribs",4.51,1352,2000
"Labor Day ","Easy Batter Fruit Cobbler",4.54,1298,2000
"Labor Day ","Blueberry Pie",4.58,1128,2000
"Memorial Day ","Crispy Fried Chicken",4.51,491,448
"Memorial Day ","Grilled Chicken Spiedies",4.23,18,32
"Memorial Day ","American Flag Cake",4.32,32,112
"Memorial Day ","Fresh Southern Peach Cobbler",4.7,2311,4000
"Memorial Day ","Honey Mustard Grilled Chicken",4.54,1643,544
"Memorial Day ","Slow-Cooker Barbecue Ribs",4.51,1352,2000
"Memorial Day ","Simple BBQ Ribs",4.81,1021,2000
"Memorial Day ","Firecracker Grilled Alaska Salmon",4.72,864,1000
"Memorial Day ","Pepperoncini Beef",4.57,818,1000
"Memorial Day ","Marinated Greek Chicken Kabobs",4.4,191,259
"Memorial Day ","Jalapeno-Blue Cheese Burgers",4.4,121,124
"Memorial Day ","Red, White, and Blueberry Cheesecake Pie",4.58,40,43
"Memorial Day ","Rosemary Ranch Chicken Kabobs",4.7,2730,4000
"Memorial Day ","Yummy Honey Chicken Kabobs",4.69,1823,724
"Memorial Day ","Actually Delicious Turkey Burgers",4.57,1570,2000
"Memorial Day ","Unbelievable Chicken",4.48,1496,2000
"Memorial Day ","Slow Cooker Texas Pulled Pork",4.51,1288,3000
"Memorial Day ","Key West Chicken",4.3,901,1000
"Memorial Day ","Boston Baked Beans",4.56,787,1000
"Memorial Day ","Beaumont Ranch Potato Salad",4.52,50,90
"Memorial Day ","Steve's Bodacious Barbecue Ribs",4.62,15,28
"Memorial Day ","Amazing Spicy Grilled Shrimp",4.71,159,194
"Memorial Day ","BBQ Pork for Sandwiches",4.79,2446,3000
"Memorial Day ","Sweet Restaurant Slaw",4.76,2010,3000
"Memorial Day ","Classic Macaroni Salad",4.47,1673,2000
"Memorial Day ","Baby Back Ribs",4.77,1412,2000
"Memorial Day ","Smooth Sweet Tea",4.81,973,1000
"Memorial Day ","Scott Hibb's Amazing Whisky Grilled Baby Back Ribs",4.82,919,1000
"Memorial Day ","Strawberry Pie II",4.55,773,1000
"New Year's ","Deep Fried Black Eyed Peas",4.07,12,14
"New Year's ","Brie Cheese Appetizer",4.68,242,329
"New Year's ","Wassail Punch",4.66,109,142
"New Year's ","Cheesy Ham and Hash Brown Casserole",4.53,1693,3000
"New Year's ","Roasted Vegetables",4.61,1346,856
"New Year's ","Creamy Hot Cocoa",4.59,920,1000
"New Year's ","Dessert Crepes",4.82,641,903
"New Year's ","Vanilla Crepes",4.67,565,805
"New Year's ","Charleston Breakfast Casserole",4.55,449,587
"New Year's ","King Crab Appetizers",4.39,225,367
"New Year's ","Original Champagne Cocktail",4.75,2,2
"New Year's ","Perfect Crab-Stuffed Mushrooms",4.7,18,54
"New Year's ","Mouth-Watering Stuffed Mushrooms",4.61,2598,3000
"New Year's ","Best Lemonade Ever",4.77,1662,3000
"New Year's ","Sugar Coated Pecans",4.91,1480,2000
"New Year's ","Sausage Casserole",4.68,757,1000
"New Year's ","Cream Cheese Penguins",4.73,711,811
"New Year's ","Fried Cabbage II",4.59,529,768
"New Year's ","Sausage Egg Casserole",4.67,411,748
"New Year's ","Chef John's Oysters Rockefeller",5,2,6
"New Year's ","Artichoke Bruschetta",4.53,289,351
"New Year's ","Capicola Canapes",4.7,9,15
"New Year's ","Basic Crepes",4.64,2107,4000
"New Year's ","Gourmet Sweet Potato Classic",4.79,1636,2000
"New Year's ","Baked Kale Chips",4.46,1714,3000
"New Year's ","Best Spinach Dip Ever",4.69,939,1000
"New Year's ","Crepes",4.77,698,1000
"New Year's ","Egg and Sausage Casserole",4.61,636,909
"New Year's ","Ethiopian Cabbage Dish",4.54,462,691
"Thanksgiving ","Chef John's Pumpkin Pie",4.76,269,698
"Thanksgiving ","Bread and Celery Stuffing",4.68,727,910
"Thanksgiving ","Iced Pumpkin Cookies",4.72,3017,1000
"Thanksgiving ","Double Layer Pumpkin Cheesecake",4.77,2219,3000
"Thanksgiving ","Sweet Dinner Rolls",4.79,2291,3000
"Thanksgiving ","Grandma's Green Bean Casserole",4.49,1958,2000
"Thanksgiving ","Pecan Pie V",4.7,1822,3000
"Thanksgiving ","Homestyle Turkey, the Michigander Way",4.82,1493,2000
"Thanksgiving ","Perfect Turkey",4.81,1149,2000
"Thanksgiving ","Chef John's Make-Ahead Turkey Gravy",4.4,184,706
"Thanksgiving ","Grandma's Green Bean Casserole",4.49,1958,2000
"Thanksgiving ","Cranberry Sauce Extraordinaire",4.78,520,653
"Thanksgiving ","Apple Pie by Grandma Ople",4.77,7178,10000
"Thanksgiving ","Awesome and Easy Creamy Corn Casserole",4.67,2424,3000
"Thanksgiving ","Fresh Southern Peach Cobbler",4.7,2311,4000
"Thanksgiving ","Awesome Sausage, Apple and Cranberry Stuffing",4.76,2093,3000
"Thanksgiving ","Perfect Pumpkin Pie",4.68,1729,3000
"Thanksgiving ","Cranberry Sauce",4.77,1463,1000
"Thanksgiving ","Tom Szaller's Great Pan or Bird Stuffing",4.37,23,35
"Thanksgiving ","Roasted Garlic Mashed Potatoes",4.55,256,441
"Thanksgiving ","Gourmet Sweet Potato Classic",4.79,1636,2000
"Thanksgiving ","Grandmother's Buttermilk Cornbread",4.81,4480,6000
"Thanksgiving ","Mouth-Watering Stuffed Mushrooms",4.61,2598,3000
"Thanksgiving ","Roasted Brussels Sprouts",4.57,2343,4000
"Thanksgiving ","Bread Pudding II",4.71,2436,1000
"Thanksgiving ","Yummy Sweet Potato Casserole",4.77,2143,4000
"Thanksgiving ","Sweet Potato Pie I",4.78,1890,3000
"Thanksgiving ","Homesteader Cornbread",4.48,1789,2000
"Thanksgiving ","Extreme Banana Nut Bread 'EBNB'",4.69,1684,2000
